,Pre,Post,Innovation
0,I1_0,OUT_COMM_0,0
1,I1_0,OUT_COMM_1,1
2,I1_1,OUT_COMM_0,2
3,I1_1,OUT_COMM_1,3
4,I2_0,OUT_COMM_STATE_0,4
5,I2_1,OUT_COMM_STATE_0,5
6,I3_0,OUT_MOT_0,6
7,I3_1,OUT_MOT_0,7
8,OUT_COMM_1,OUT_COMM_1,8
9,OUT_COMM_0,OUT_COMM_STATE_0,9
10,I2_0,OUT_COMM_1,10
11,I1_1,OUT_MOT_0,11
12,I3_0,OUT_COMM_0,12
13,OUT_COMM_0,OUT_COMM_0,13
14,OUT_COMM_1,OUT_MOT_0,14
15,I2_1,OUT_COMM_1,15
16,OUT_MOT_0,OUT_COMM_STATE_0,16
17,OUT_MOT_0,OUT_COMM_1,17
18,OUT_COMM_0,OUT_MOT_0,18
19,I2_0,OUT_MOT_0,19
20,OUT_COMM_STATE_0,OUT_COMM_1,20
21,I3_0,OUT_COMM_1,21
22,Node_10,OUT_MOT_0,22
23,I3_1,Node_10,23
24,Node_11,OUT_MOT_0,24
25,I3_0,Node_11,25
26,Node_12,OUT_COMM_STATE_0,26
27,I2_0,Node_12,27
28,Node_13,OUT_COMM_0,28
29,I1_0,Node_13,29
30,Node_14,OUT_MOT_0,30
31,I3_1,Node_14,31
32,Node_15,OUT_COMM_STATE_0,32
33,I2_1,Node_15,33
34,Node_16,OUT_COMM_1,34
35,I1_0,Node_16,35
36,Node_17,OUT_COMM_1,36
37,I1_0,Node_17,37
38,Node_18,OUT_COMM_0,38
39,I1_0,Node_18,39
40,I3_1,OUT_COMM_0,40
41,I2_0,OUT_COMM_0,41
42,I2_1,OUT_MOT_0,42
43,OUT_COMM_STATE_0,OUT_COMM_STATE_0,43
44,I1_0,OUT_MOT_0,44
45,OUT_MOT_0,OUT_MOT_0,45
46,OUT_COMM_STATE_0,OUT_COMM_0,46
47,Node_19,OUT_COMM_STATE_0,47
48,I2_0,Node_19,48
49,Node_20,OUT_COMM_1,49
50,I1_1,Node_20,50
51,Node_21,OUT_MOT_0,51
52,I3_1,Node_21,52
53,Node_22,OUT_COMM_1,53
54,I1_0,Node_22,54
55,Node_23,OUT_MOT_0,55
56,I3_1,Node_23,56
57,Node_24,OUT_COMM_0,57
58,I1_1,Node_24,58
59,Node_25,OUT_MOT_0,59
60,I3_1,Node_25,60
61,Node_26,OUT_COMM_1,61
62,I3_0,Node_26,62
63,Node_27,OUT_MOT_0,63
64,I3_0,Node_27,64
65,Node_28,OUT_COMM_0,65
66,I1_1,Node_28,66
67,Node_29,OUT_COMM_0,67
68,I1_1,Node_29,68
69,OUT_COMM_1,OUT_COMM_STATE_0,69
70,I2_1,Node_19,70
71,Node_30,OUT_COMM_STATE_0,71
72,I2_1,Node_30,72
73,Node_31,OUT_COMM_1,73
74,I1_0,Node_31,74
75,Node_32,OUT_COMM_1,75
76,I1_1,Node_32,76
77,OUT_COMM_STATE_0,OUT_MOT_0,77
78,I3_1,OUT_COMM_STATE_0,78
