step,x,y,bat_azul
0,0.000,0.000,1.000
10,0.001,0.001,0.999
20,0.001,0.002,0.997
30,0.003,0.002,0.996
40,0.032,-0.078,0.994
50,0.062,-0.160,0.993
60,0.092,-0.241,0.991
70,0.122,-0.323,0.990
80,0.152,-0.404,0.988
90,0.182,-0.486,0.987
100,0.212,-0.567,0.985
110,0.213,-0.566,0.984
120,0.213,-0.567,0.984
130,0.213,-0.685,0.982
140,0.214,-0.809,0.981
150,0.214,-0.896,0.979
160,0.215,-0.983,0.978
170,0.215,-1.070,0.976
180,0.216,-1.157,0.975
190,0.214,-1.157,0.973
200,0.251,-1.233,0.972
210,0.288,-1.311,0.970
220,0.289,-1.310,0.969
230,0.295,-1.395,0.967
240,0.295,-1.395,0.967
250,0.296,-1.395,0.966
260,0.297,-1.395,0.964
270,0.297,-1.396,0.963
280,0.298,-1.397,0.961
290,0.297,-1.399,0.960
300,0.217,-1.367,0.958
310,0.216,-1.367,0.957
320,0.154,-1.308,0.955
330,0.091,-1.248,0.954
340,0.000,-1.163,0.952
350,-0.063,-1.104,0.951
360,-0.153,-1.019,0.949
370,-0.153,-1.019,0.949
380,-0.244,-0.940,0.948
390,-0.338,-0.859,0.946
400,-0.432,-0.778,0.945
410,-0.526,-0.697,0.943
420,-0.620,-0.615,0.942
430,-0.714,-0.534,0.940
440,-0.808,-0.453,0.939
450,-0.901,-0.372,0.937
460,-0.995,-0.291,0.936
470,-1.089,-0.210,0.934
480,-1.089,-0.211,0.934
490,-1.090,-0.210,0.934
500,-1.091,-0.210,0.934
510,-1.091,-0.210,0.934
520,-1.092,-0.211,0.934
530,-1.093,-0.210,0.934
540,-1.093,-0.210,0.934
550,-1.093,-0.210,0.934
560,-1.094,-0.210,0.934
570,-1.094,-0.209,0.934
580,-1.094,-0.208,0.934
590,-0.982,-0.174,0.933
600,-0.863,-0.137,0.931
610,-0.745,-0.100,0.930
620,-0.744,-0.099,0.930
630,-0.628,-0.084,0.928
640,-0.505,-0.068,0.927
650,-0.382,-0.052,0.925
660,-0.259,-0.035,0.924
670,-0.136,-0.019,0.922
680,-0.013,-0.002,0.921
690,0.110,0.014,0.919
700,0.233,0.031,0.918
710,0.356,0.048,0.916
720,0.479,0.065,0.915
730,0.478,0.065,0.915
740,0.596,0.060,0.913
750,0.720,0.056,0.912
760,0.844,0.051,0.910
770,0.967,0.046,0.909
780,1.091,0.041,0.907
790,1.215,0.036,0.906
800,1.339,0.032,0.904
810,1.463,0.027,0.903
820,1.587,0.023,0.901
830,1.711,0.018,0.900
840,1.835,0.014,0.898
850,1.845,0.011,0.897
860,1.848,0.012,0.895
870,1.826,0.067,0.894
880,1.802,0.125,0.892
890,1.779,0.182,0.891
900,1.756,0.239,0.889
910,1.732,0.297,0.888
920,1.709,0.354,0.886
930,1.662,0.469,0.885
940,1.615,0.584,0.883
950,1.569,0.699,0.882
960,1.522,0.814,0.880
970,1.476,0.929,0.879
980,1.429,1.044,0.877
990,1.383,1.159,0.876
1000,1.337,1.274,0.874
1010,1.290,1.389,0.873
1020,1.244,1.504,0.871
1030,1.198,1.619,0.870
1040,1.152,1.734,0.868
1050,1.153,1.740,0.867
1060,1.095,1.752,0.865
1070,1.034,1.764,0.864
1080,1.033,1.768,0.862
1090,0.992,1.724,0.861
1100,0.949,1.679,0.859
1110,0.864,1.589,0.858
1120,0.779,1.499,0.856
1130,0.694,1.408,0.855
1140,0.609,1.318,0.853
1150,0.524,1.228,0.852
1160,0.439,1.137,0.850
1170,0.354,1.047,0.849
1180,0.269,0.957,0.847
1190,0.184,0.866,0.846
1200,0.099,0.776,0.844
1210,0.014,0.685,0.843
1220,-0.071,0.595,0.841
1230,-0.156,0.505,0.840
1240,-0.241,0.414,0.838
1250,-0.326,0.324,0.837
1260,-0.411,0.233,0.835
1270,-0.496,0.143,0.834
1280,-0.581,0.053,0.832
1290,-0.666,-0.038,0.831
1300,-0.751,-0.128,0.829
1310,-0.836,-0.218,0.828
1320,-0.921,-0.309,0.826
1330,-1.006,-0.399,0.825
1340,-1.091,-0.489,0.823
1350,-1.176,-0.579,0.822
1360,-1.262,-0.670,0.820
1370,-1.347,-0.760,0.819
1380,-1.432,-0.850,0.817
1390,-1.517,-0.940,0.816
1400,-1.602,-1.030,0.814
