step,x,y,bat_azul
0,0.000,0.000,1.000
10,0.001,0.001,0.999
20,0.001,0.002,0.997
30,0.003,0.002,0.996
40,0.004,0.002,0.994
50,0.005,0.001,0.993
60,-0.033,-0.076,0.991
70,-0.033,-0.076,0.991
80,-0.085,-0.185,0.990
90,-0.137,-0.297,0.988
100,-0.189,-0.410,0.987
110,-0.241,-0.522,0.985
120,-0.278,-0.601,0.984
130,-0.277,-0.601,0.984
140,-0.278,-0.599,0.982
150,-0.278,-0.684,0.981
160,-0.278,-0.771,0.979
170,-0.277,-0.770,0.978
180,-0.310,-0.849,0.976
190,-0.344,-0.929,0.975
200,-0.345,-0.929,0.973
210,-0.341,-1.013,0.972
220,-0.336,-1.137,0.970
230,-0.336,-1.137,0.970
240,-0.329,-1.256,0.969
250,-0.321,-1.380,0.967
260,-0.314,-1.504,0.966
270,-0.307,-1.628,0.964
280,-0.299,-1.752,0.963
290,-0.302,-1.756,0.961
300,-0.303,-1.759,0.960
310,-0.251,-1.730,0.958
320,-0.142,-1.670,0.957
330,-0.034,-1.609,0.955
340,0.074,-1.549,0.954
350,0.182,-1.488,0.952
360,0.291,-1.428,0.951
370,0.399,-1.367,0.949
380,0.507,-1.306,0.948
390,0.615,-1.245,0.946
400,0.723,-1.184,0.945
410,0.831,-1.123,0.943
420,0.939,-1.061,0.942
430,1.046,-1.000,0.940
440,1.154,-0.938,0.939
450,1.262,-0.877,0.937
460,1.369,-0.815,0.936
470,1.477,-0.753,0.934
480,1.584,-0.692,0.933
490,1.692,-0.630,0.931
500,1.799,-0.568,0.930
510,1.807,-0.567,0.928
520,1.809,-0.568,0.927
530,1.759,-0.535,0.925
540,1.707,-0.501,0.924
550,1.603,-0.433,0.922
560,1.499,-0.365,0.921
570,1.395,-0.297,0.919
580,1.292,-0.229,0.918
590,1.188,-0.161,0.916
600,1.084,-0.093,0.915
610,0.981,-0.025,0.913
620,0.877,0.043,0.912
630,0.773,0.111,0.910
640,0.670,0.179,0.909
650,0.566,0.248,0.907
660,0.463,0.316,0.906
670,0.359,0.384,0.904
680,0.255,0.453,0.903
690,0.152,0.521,0.901
700,0.048,0.589,0.900
710,-0.055,0.658,0.898
720,-0.159,0.726,0.897
730,-0.262,0.794,0.895
740,-0.366,0.863,0.894
750,-0.469,0.931,0.892
760,-0.573,1.000,0.891
770,-0.676,1.068,0.889
780,-0.780,1.136,0.888
790,-0.884,1.205,0.886
800,-0.987,1.273,0.885
810,-1.091,1.341,0.883
820,-1.194,1.409,0.882
830,-1.298,1.478,0.880
840,-1.401,1.546,0.879
850,-1.505,1.614,0.877
860,-1.609,1.682,0.876
870,-1.712,1.750,0.874
880,-1.714,1.755,0.873
890,-1.768,1.730,0.871
900,-1.769,1.732,0.870
910,-1.772,1.732,0.868
920,-1.723,1.697,0.867
930,-1.673,1.661,0.865
940,-1.572,1.589,0.864
950,-1.471,1.517,0.862
960,-1.370,1.446,0.861
970,-1.269,1.374,0.859
980,-1.168,1.302,0.858
990,-1.067,1.230,0.856
1000,-0.966,1.158,0.855
1010,-0.865,1.086,0.853
1020,-0.763,1.014,0.852
1030,-0.662,0.942,0.850
1040,-0.561,0.870,0.849
1050,-0.460,0.799,0.847
1060,-0.359,0.727,0.846
1070,-0.258,0.655,0.844
1080,-0.156,0.583,0.843
1090,-0.055,0.512,0.841
1100,0.046,0.440,0.840
1110,0.147,0.368,0.838
1120,0.249,0.297,0.837
1130,0.350,0.225,0.835
1140,0.451,0.153,0.834
1150,0.553,0.082,0.832
1160,0.654,0.010,0.831
1170,0.755,-0.061,0.829
1180,0.857,-0.133,0.828
1190,0.958,-0.205,0.826
1200,1.059,-0.276,0.825
1210,1.160,-0.348,0.823
1220,1.262,-0.419,0.822
1230,1.363,-0.491,0.820
1240,1.464,-0.563,0.819
1250,1.565,-0.635,0.817
1260,1.667,-0.706,0.816
1270,1.768,-0.778,0.814
1280,1.773,-0.779,0.813
1290,1.771,-0.840,0.811
1300,1.768,-0.902,0.810
1310,1.767,-0.964,0.808
1320,1.765,-1.026,0.807
1330,1.763,-1.088,0.805
1340,1.762,-1.149,0.804
1350,1.760,-1.211,0.802
1360,1.759,-1.273,0.801
1370,1.757,-1.335,0.799
1380,1.755,-1.397,0.798
1390,1.754,-1.459,0.796
1400,1.752,-1.521,0.795
